1,"drivers license","Olivia Rodrigo",5646998,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4196478,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,"Blinding Lights","The Weeknd",3583171,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,DÁKITI,"Bad Bunny",3473963,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,"Calling My Phone","Lil Tjay",3255228,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
6,"Astronaut In The Ocean","Masked Wolf",2909427,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,Bandido,"Myke Towers",2855775,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
8,"Mood (feat. iann dior)",24kGoldn,2728428,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,"The Business",Tiësto,2704814,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,"WITHOUT YOU","The Kid LAROI",2672090,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
11,Streets,"Doja Cat",2538200,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
12,"LA NOCHE DE ANOCHE","Bad Bunny",2519442,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
13,telepatía,"Kali Uchis",2441741,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Good Days",SZA,2330732,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
15,Whoopty,CJ,2271879,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
16,Up,"Cardi B",2265741,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,"Levitating (feat. DaBaby)","Dua Lipa",2251064,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2218190,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
19,positions,"Ariana Grande",2176955,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
20,Dynamite,BTS,2155585,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,BICHOTA,"KAROL G",2121787,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
22,34+35,"Ariana Grande",2094934,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
23,"HEARTBREAK ANNIVERSARY",Giveon,1986345,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
24,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1978747,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
25,"Hecha Pa' Mi",Boza,1920844,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
26,"We're Good","Dua Lipa",1879942,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
27,"Paradise (feat. Dermot Kennedy)",MEDUZA,1876256,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
28,Anyone,"Justin Bieber",1859813,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
29,"Someone You Loved","Lewis Capaldi",1811725,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"you broke me first","Tate McRae",1795996,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
31,"Ella No Es Tuya - Remix","Rochy RD",1744614,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
32,"What You Know Bout Love","Pop Smoke",1719220,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
33,"Goosebumps - Remix","Travis Scott",1712545,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
34,"Heat Waves","Glass Animals",1699308,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
35,"Head & Heart (feat. MNEK)","Joel Corry",1692627,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"Therefore I Am","Billie Eilish",1679759,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
37,"Watermelon Sugar","Harry Styles",1674909,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1655979,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
39,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1609237,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
40,"Your Love (9PM)",ATB,1543979,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
41,"GIRL LIKE ME","Black Eyed Peas",1541391,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
42,Arcade,"Duncan Laurence",1520548,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
43,"Sweater Weather","The Neighbourhood",1510527,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
44,Hawái,Maluma,1506764,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
45,"Dance Monkey","Tones And I",1492330,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
46,Reloj,"Rauw Alejandro",1475102,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
47,"WAP (feat. Megan Thee Stallion)","Cardi B",1463574,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
48,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1446758,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
49,"Don't Start Now","Dua Lipa",1422344,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
50,"Roses - Imanbek Remix","SAINt JHN",1407499,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
51,"Best Friend (feat. Doja Cat)",Saweetie,1330292,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
52,"test drive","Ariana Grande",1315971,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw
53,"La Nota","Manuel Turizo",1314391,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
54,Heather,"Conan Gray",1301559,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
55,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1300866,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
56,"Before You Go","Lewis Capaldi",1283132,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1261775,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"Lonely (with benny blanco)","Justin Bieber",1218099,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
59,"No Te Enamores - Remix",Milly,1218020,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
60,Goosebumps,HVME,1198658,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
61,"TE MUDASTE","Bad Bunny",1170546,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
62,willow,"Taylor Swift",1146210,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
63,Circles,"Post Malone",1146057,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
64,Afterglow,"Ed Sheeran",1144976,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
65,LOCATION,"KAROL G",1131668,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
66,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1131513,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
67,"lovely (with Khalid)","Billie Eilish",1120904,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,"death bed (coffee for your head)",Powfu,1115634,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
69,"Relación - Remix",Sech,1114886,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
70,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1110840,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
